pub_date	title	venue	excerpt	citation	url_slug	paper_url
2019-06-12	Does it matter why we hack? – Exploring the impact of goal alignment in hackathons	ECSCW'19	"Time-bounded events such as hackathons have become increasingly popular in recent years. During these events participants typically form teams, exercise fast prototype development, challenge themselves to innovate, practice new skills, collaborate with diverse team members, and compete against other teams. Hackathon organizers have a certain vision in mind about which outcome they would like to achieve and design the event based on this vision. Participants on the other hand do not necessarily share the same vision and come with their own goals and aspirations. While work in related fields suggests that it is important for goals of organizers and participants to align in order to achieve them this might be different in hackathons due to their unique setup. Drawing from literature we identified potential goals of organizers and participants and conducted a case study of three hackathons focusing on the alignment of goals between organizers and participants. Our findings indicate that the goals of organizers and participants did not align in all cases, that goal awareness on the part of the organizers appears may have a stronger impact on goal achievement and that hackathons appear to have inherent characteristics that can materialize even when not planned for."	"Medina Angarita, M. A., & Nolte, A. (2019). Does it matter why we hack?–Exploring the impact of goal alignment in hackathons. In <i>Proceedings of 17th European Conference on Computer-Supported Cooperative Work. European Society for Socially Embedded Technologies (EUSSET)</i> http://eipapa.github.io/hack-research-mmistakes/files/ECSCW-nolte-2019.pdf."	ECSCW-nolte-2019	http://eipapa.github.io/hack-research-mmistakes/files/ECSCW-nolte-2019.pdf
2017-07-20	From Diversity by Numbers to Diversity as Process: Supporting Inclusiveness in Software Development Teams with Brainstorming	Proceedings of IEEE/ACM 39th International Conference on Software Engineering (ICSE)	"Negative experiences in diverse software development teams have the potential to turn off minority participants from future team-based software development activity. We examine the use of brainstorming as one concrete team processes that may be used to improve the satisfaction of minority developers when working in a group. Situating our study in time-intensive hackathon-like environments where engagement of all team members is particularly crucial, we use a combination of survey and interview data to test our propositions. We find that brainstorming strategies are particularly effective for team members who identify as minorities, and support satisfaction with both the process and outcomes of teamwork through different mechanisms."	"Filippova, A., Trainer, E., & Herbsleb, J. D. (2017, May). From diversity by numbers to diversity as process: supporting inclusiveness in software development teams with brainstorming. In <i>2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE)</i> (pp. 152-163). IEEE. https://doi.org/10.1109/ICSE.2017.22"	ICSE-filippova-2017	http://eipapa.github.io/hack-research-mmistakes/files/ICSE-filippova-2017.pdf
2017-02-25	The 1st Workshop on Hacking and Making at Time-Bounded Events: Current Trends and Next Steps in Research and Event Design	CSCW'17	"Time-bounded collaborative events in which teams work together under intense time pressure are becoming increasingly popular. While hackathons, that is, competitive overnight coding events, are one of the more prevalent examples of this phenomenon, there are many more distinct event design variations for different audiences and with divergent aims, such as sprints, codefests, hack-days, edit-a-thons and so on. Taken together, these events offer new opportunities and challenges for cooperative work by affording explicit, predictable, time-bounded spaces for interdependent work and access to new audiences of collaborators. This one-day workshop brings together researchers interested in the phenomenon, experienced event organizers, and participants interested in running their own events to consolidate research to-date, share practical experiences, and understand what benefits different event variations may offer, how they may be applied in other contexts, and how insights from studying these events may contribute to CSCW knowledge."	"Filippova, A., Chapman, B., Geiger, R. S., Herbsleb, J. D., Kalyanasundaram, A., Trainer, E., ... & Stoltzfus, A. (2017, February). Hacking and making at time-bounded events: Current trends and next steps in research and event design. In <i>Companion of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing (pp. 363-370)</i>. https://doi.org/10.1145/3022198.3022658"	CSCW-workshop-filippova-2017	http://eipapa.github.io/hack-research-mmistakes/files/CSCW-workshop-filippova-2017.pdf
2016-02-01	How to Hackathon: Socio-technical Tradeoffs in Brief, Intensive Collocation	CSCW'16	"Hackathons are events where people who are not normally collocated converge for a few days to write code together. Hackathons, it seems, are everywhere. We know that long- term collocation helps advance technical work and facilitate enduring interpersonal relationships, but can similar benefits come from brief, hackathon-style collocation? How do participants spend their time preparing, working face-to- face, and following through these brief encounters? Do the activities participants select suggest a tradeoff between the social and technical benefits of collocation? We present results from a multiple-case study that suggest the way that hackathon-style collocation advances technical work varies across technical domain, community structure, and expertise of participants. Building social ties, in contrast, seems relatively constant across hackathons. Results from different hackathon team formation strategies suggest a tradeoff between advancing technical work and building social ties. Our findings have implications for technology support that needs to be in place for hackathons and for understanding the role of brief interludes of collocation in loosely-coupled, geographically distributed work."	"Trainer, E. H., Kalyanasundaram, A., Chaihirunkarn, C., & Herbsleb, J. D. (2016, February). How to hackathon: Socio-technical tradeoffs in brief, intensive collocation. In <i>Proceedings of the 19th ACM conference on computer-supported cooperative work & social computing</i> (pp. 1118-1130). https://doi.org/10.1145/2818048.2819946"	CSCW-trainer-2016	http://eipapa.github.io/hack-research-mmistakes/files/CSCW-trainer-2016.pdf
2019-06-25	Collaborative Writing at Scale: A Case Study of Two Open-Text Projects Done on GitHub	The Future of Work (HCIC'19) Workshop	"Collaborative Work of all kinds is increasingly done in a networked digital environment comprised of multiple Internet-connected platforms offering varying affordances and serving communities with specific norms and values. Such an environment invites inclusive participation in collaborative production but, at the same time, challenges the roles and design of platforms traditionally used for specific kinds of work. Despite the earlier prevalence of shared editors, collaborative writing is now moving to online platforms with social networking functionality such as Wikipedia and GitHub. This study examines the evolution of digital text artifacts in a networked digital environment as revealed through a case study of two open text projects on GitHub.com – a popular social coding/software development platform. Our findings suggest that working collaboratively in a networked digital environment enables production to occur across multiple platforms as the need for this is perceived. In particular, GitHub’s pull-based model effectively manages collaborative writing at scale through sophisticated version control and lightweight review as participation and visibility of the project increases. In this pull-based model, contributors either converge at a single project to perfect its artifacts, or adopt and tailor the original project to their needs. In sum, this study highlights a new mode of collaborative writing in which GitHub and other platforms are used, conventions are adopted, and roles are established."	"Pe-Than, E.P.P, Dabbish, L., and Herbsleb, J.D. (2019). Collaborative Writing at Scale: A Case Study of Two Open-Text Projects Done on GitHub. <i>Paper presented at The Future of Work, Human Computer Interaction Consortium (HCIC'19) Workshop</i> http://eipapa.github.io/hack-research-mmistakes/files/HCIC-poster-2019.pd."	HCIC-2019	http://eipapa.github.io/hack-research-mmistakes/files/HCIC-poster-2019.pdf
2018-07-11	Designing Corporate Hackathons with a Purpose	IEEE Software	"In hackathons, small teams work together over a specified period of time to complete a project of interest. Hackathons have become increasingly popular as a means to surface and prototype innovative and creative ideas for products, but their impact often goes beyond product innovation. Based on our empirical studies of 10 hackathons held by scientific communities, a corporation, and universities as well as the review of published literature, we discuss that hackathons can be organized around goals such as enriching social networks, facilitating collaborative learning, and workforce development. We also discuss design choices that can scaffold the organization of hackathons and their trade-offs. Design choices include identifying a suitable mixture of attendee skills, the selection process for projects and teams, and whether to hold a competitive or collaborative event. Hackathons can achieve multiple goals if designed carefully."	"Pe-Than, E.P.P., Nolte, A., Filippova, A., Bird, C., Scallen, S., and Herbsleb, J.D. (2018). Designing Corporate Hackathons with a Purpose. <i>IEEE Software, 36</i> (1), pp. 15-22. https://doi.org/10.1109/MS.2018.290110547 <br>http://eipapa.github.io/hack-research-mmistakes/files/IEEESW-2018.pdf"	IEEESW-2018	http://eipapa.github.io/hack-research-mmistakes/files/IEEESW-2018.pdf
2018-11-01	You Hacked and Now What?: - Exploring Outcomes of a Corporate Hackathon	Proceedings of the ACM on Human-Computer Interaction (PACM HCI, ACM CSCW'18)	"Time bounded events such as hackathons, data dives, codefests, hack-days, sprints or edit-a-thons have increasingly gained attention from practitioners and researchers. Existing research, however, has mainly focused on the event itself, while potential outcomes of hackathons have received limited attention. Furthermore, most research around hackathons focuses on collegiate or civic events. Research around hackathons internal to tech companies, which are nearly ubiquitous, and present significant organizational, cultural, and managerial challenges, remains scarce. In this paper we address this gap by presenting findings from a case study of five teams which participated in a large scale corporate hackathon. Most team members voiced their intentions to continue the projects their worked on during the hackathon, but those whose projects did get continued were characterized by meticulous preparation, a focus on executing a shared vision during the hackathon, extended dissemination activities afterwards and a fit to existing product lines. Such teams were led by individuals who perceived the hackathon as an opportunity to bring their idea to life and advance their careers, and who recruited teams who had a strong interest in the idea and in learning the skills necessary to contribute efficiently. Our analysis also revealed that individual team members perceived hackathon participation to have positive effects on their career parts, networks and skill development."	"Nolte, A., Pe-Than, E.P.P., Filippova, A., Bird, C., Scallen, S., and Herbsleb, J.D. (2018). You Hacked and Now What?: - Exploring Outcomes of a Corporate Hackathon. <i>In Proceedings of the ACM on Human Computer Interaction, 2 (CSCW'18), </i>Article 129, 23 pages. https://doi.org/10.1145/3274398 <br>http://eipapa.github.io/hack-research-mmistakes/files/CSCW-2018.pdf"	CSCW-2018	http://eipapa.github.io/hack-research-mmistakes/files/CSCW-2018.pdf
2019-03-13	Understanding Hackathons for Science: Collaboration, Affordances, and Outcomes	iConference'19	"Nowadays, hackathons have become a popular way of bringing people together to engage in brief, intensive collaborative work. Despite being a brief activity, being collocated with team members and focused on a task—radical collocation—could improve collaboration of scientific software teams. Using a mixed-methods study of participants who attended two hackathons at Space Telescope Science Institute (STScI), we examined how hackathons can facilitate collaboration in scientific software teams which typically involve members from two different disciplines: science and software engineering. We found that hackathons created a focused interruption-free working environment in which team members were able to assess each other’s skills, focus together on a single project and leverage opportunities to exchange knowledge with other collocated participants, thereby allowing technical work to advance more efficiently. This study suggests “hacking” as a new and productive form of collaborative work in scientific software production."	"Pe-Than, E.P.P. and Herbsleb, J.D. (2019). Understanding Hackathons for Science: Collaboration, Affordances, and Outcomes. In<i> Taylor N., Christian-Lamb C., Martin M., Nardi B. (eds) Information in Contemporary Society, iConference'19. Lecture Notes in Computer Science, vol 11420 (iConference'19), </i>pp. 27-37. Springer, Cham. https://doi.org/10.1007/978-3-030-15742-5_3 <br>http://eipapa.github.io/hack-research-mmistakes/files/iConference-2019.pdf"	iConference-2019	http://eipapa.github.io/hack-research-mmistakes/files/iConference-2019.pdf
2018-10-01	Collaborative Writing on GitHub: A Case Study of a Book Project	Companion of the 2018 ACM Conference on Computer Supported Cooperative Work and Social Computing (ACM CSCW'18)	"Social coding platforms such as GitHub are increasingly becoming a digital workspace for the production of non-software digital artifacts. Since GitHub offers unique features that are different from traditional ways of collaborative writing, it is interesting to investigate how GitHub features are used for writing. In this paper, we present the preliminary findings of a mixed-methods, case study of collaboration practices in a GitHub book project. We found that the use of GitHub depended on task interdependence and audience participation. GitHub's direct push method was used to coordinate both loosely- and tightly-coupled work, with the latter requiring collaborators to follow socially-accepted conventions. The pull-based method was adopted once the project was released to the public. While face-to-face and online meetings were prominent in the early phases, GitHub's issues became instrumental for communication and project management in later phases. Our findings have implications for the design of collaborative writing tools."	"Pe-Than, E.P.P., Dabbish, L., and Herbsleb, J.D. (2018). Collaborative Writing on GitHub: A Case Study of a Book Project. <i>In Companion of the 2018 ACM Conference on Computer Supported Cooperative Work and Social Computing (CSCW’18), </i>pp. 305-308. https://doi.org/10.1145/3272973.3274083 <br>http://eipapa.github.io/hack-research-mmistakes/files/CSCW-abstract-2018.pdf"	CSCW-abstract-2018	http://eipapa.github.io/hack-research-mmistakes/files/CSCW-abstract-2018.pdf
2018-01-04	The 2nd Workshop on Hacking and Making at Time-Bounded Events: Current Trends and Next Steps in Research and Event Design	Extended Abstracts of the 2018 ACM CHI Conference on Human Factors in Computing Systems (ACM CHI'18)	"Hackathons or Hackathon-style events, describe increasingly popular time-bounded intensive events across different fields and sectors. Often cited examples of hackathons include the demanding overnight competitive coding events, but there are many design variations for different audiences and with divergent aims. They offer a new form of collaboration by affording explicit, predictable, time-bounded spaces for interdependent work and engaging with new audiences. This one-day workshop will bring together researchers, experienced event organizers, and practitioners to share and discuss their practical experiences. Empirical insights from studying these events may help position the CHI community to better study, plan and design hackathon-style events and socio-technical systems that support new modes of production and collaboration."	"Pe-Than, E.P.P., Herbsleb, J.D., Nolte, A., Gerber, E., Fiore-Gartland, B., Chapman, B., Moser, A., and Wilkins-Diehr, N. (2018). The 2nd Workshop on Hacking and Making at Time-Bounded Events: Current Trends and Next Steps in Research and Event Design. <i>In Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems (CHI EA'18), </i>paper W35, pp. 1-8. https://doi.org/10.1145/3170427.3170615 <br>http://eipapa.github.io/hack-research-mmistakes/files/CHI-workshop-2018.pdf"	CHI-workshop-2018	http://eipapa.github.io/hack-research-mmistakes/files/CHI-workshop-2018.pdf
